vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
CMT,2011-05-13 20:48:53,2011-05-13 20:59:28,1,0.0,-73.974574670875,40.750450184117,1,N,-73.94259494837698,39.610568217375004,CRD,9.3,0.5,0.5,2.05,0.0,12.35
CMT,2011-05-13 20:51:55,2011-05-13 20:54:49,2,0.4,-73.99885899999998,40.739082,1,N,-73.99896099999998,40.734786,CRD,3.7,0.5,0.5,0.94,0.0,5.64
CMT,2011-05-13 20:44:59,2011-05-13 20:53:51,1,1.4,-73.991577,40.726659,1,N,-73.97753899999998,40.743838,CRD,6.9,0.5,0.5,1.58,0.0,9.48
VTS,2011-05-15 21:57:00,2011-05-15 22:01:00,1,1.08,-73.99324699999998,40.757388,1,,-73.99983299999998,40.745122,CRD,4.9,0.5,0.5,1.0,0.0,6.9
VTS,2011-05-15 21:57:00,2011-05-15 22:06:00,1,1.55,-73.97445999999998,40.753822,1,,-73.99826199999998,40.760972,CRD,6.9,0.5,0.5,1.6,0.0,9.5
CMT,2011-05-13 14:36:49,2011-05-13 14:44:26,1,1.0,-73.999003,40.734312,1,N,-74.00806699999998,40.739255,CRD,5.7,0.0,0.5,1.86,0.0,8.06
VTS,2011-05-15 22:03:00,2011-05-15 22:10:00,5,1.85,-73.982898,40.76021,1,,-73.981717,40.741407,CRD,6.9,0.5,0.5,2.0,0.0,9.9
VTS,2011-05-15 21:50:00,2011-05-15 22:07:00,1,6.1,-73.959812,40.762778,1,,-74.01124299999998,40.701768,CRD,16.9,0.5,0.5,2.0,0.0,19.9
CMT,2011-05-13 20:52:20,2011-05-13 21:05:14,1,2.4,-73.990103,40.734979,1,N,-73.96689399999998,40.764258,CRD,9.3,0.5,0.5,1.0,0.0,11.3
CMT,2011-05-13 20:48:14,2011-05-13 20:53:18,1,1.4,-73.98389299999998,40.773729,1,N,-73.972797,40.790566,CRD,5.7,0.5,0.5,1.34,0.0,8.04
CMT,2011-05-14 15:12:34,2011-05-14 15:21:47,2,2.1,-73.980045,40.754807,1,N,-73.98296999999998,40.731471,CRD,8.099999999999998,0.0,0.5,1.72,0.0,10.32
CMT,2011-05-13 20:46:50,2011-05-13 20:54:51,1,1.2,-73.980751,40.739485,1,N,-73.990492,40.729792,CRD,6.1,0.5,0.5,1.0,0.0,8.099999999999998
CMT,2011-05-13 20:50:07,2011-05-13 21:13:45,1,7.7,-73.966351,40.764838,1,N,-73.843664,40.721668,CRD,20.9,0.5,0.5,3.0,0.0,24.9
CMT,2011-05-13 20:49:23,2011-05-13 20:54:09,1,0.5,-73.985206,40.732135,1,N,-73.990599,40.724703,CRD,4.5,0.5,0.5,1.1,0.0,6.6
VTS,2011-05-15 22:04:00,2011-05-15 22:08:00,5,1.12,-73.99386199999998,40.741658,1,,-74.00602999999998,40.731598,CSH,4.9,0.5,0.5,0.0,0.0,5.9
CMT,2011-05-14 15:03:45,2011-05-14 15:11:00,1,1.2,-73.97561799999998,40.752624,1,N,-73.96294799999998,40.757898,CRD,6.1,0.0,0.5,2.0,0.0,8.599999999999998
CMT,2011-05-13 14:28:47,2011-05-13 14:38:04,1,1.1,-73.980959,40.765429,1,N,-73.980248,40.780482,CRD,6.5,0.0,0.5,1.4,0.0,8.4
CMT,2011-05-13 14:34:35,2011-05-13 14:41:46,1,1.2,-73.96693399999998,40.760925,1,N,-73.951481,40.769182,CRD,6.1,0.0,0.5,1.0,0.0,7.599999999999999
VTS,2011-05-15 22:01:00,2011-05-15 22:08:00,1,2.49,-74.00079499999998,40.731805,1,,-73.98608799999998,40.761655,CRD,7.7,0.5,0.5,3.0,0.0,11.7
VTS,2011-05-15 22:01:00,2011-05-15 22:06:00,2,0.74,-73.989818,40.725757,1,,-74.001142,40.731515,CSH,4.9,0.5,0.5,0.0,0.0,5.9
CMT,2011-05-14 15:07:45,2011-05-14 15:14:51,1,1.1,-73.987144,40.739654,1,N,-73.973274,40.743838,CRD,5.7,0.0,0.5,1.24,0.0,7.44
CMT,2011-05-13 14:28:46,2011-05-13 14:35:59,1,0.6,-73.98098199999998,40.753794,1,N,-73.983585,40.756775,CRD,4.9,0.0,0.5,1.08,0.0,6.48
VTS,2011-05-15 22:06:00,2011-05-15 22:09:00,1,1.09,-74.005492,40.727952,1,,-74.010357,40.714105,CSH,4.5,0.5,0.5,0.0,0.0,5.5
CMT,2011-05-14 15:07:24,2011-05-14 15:15:39,1,1.1,-73.981108,40.768683,1,N,-73.986303,40.778658,CRD,6.1,0.0,0.5,1.25,0.0,7.849999999999999
CMT,2011-05-14 15:07:49,2011-05-14 15:24:26,2,3.5,-73.985059,40.728085,1,N,-73.96025,40.770366,CRD,12.1,0.0,0.5,2.52,0.0,15.12
VTS,2011-05-15 21:54:00,2011-05-15 22:05:00,3,3.02,-73.984312,40.756723,1,,-73.998677,40.722967,CSH,9.7,0.5,0.5,0.0,0.0,10.7
VTS,2011-05-15 22:09:00,2011-05-15 22:15:00,2,1.85,-73.97851199999998,40.747952,1,,-73.995652,40.72671,CSH,6.5,0.5,0.5,0.0,0.0,7.5
CMT,2011-05-14 15:12:50,2011-05-14 15:32:28,1,1.7,-73.98037499999998,40.748656,1,N,-73.983188,40.766783,CRD,11.3,0.0,0.5,2.36,0.0,14.16
CMT,2011-05-14 15:03:33,2011-05-14 15:15:53,1,0.9,-73.98847,40.774372,1,N,-73.980908,40.76611,CRD,7.7,0.0,0.5,0.0,0.0,8.199999999999998
VTS,2011-05-15 21:36:00,2011-05-15 21:42:00,3,1.13,-73.98246799999998,40.768282,1,,-73.97378,40.764525,CSH,4.9,0.5,0.5,0.0,0.0,5.9
VTS,2011-05-15 21:54:00,2011-05-15 21:57:00,2,0.8,-74.00662,40.72153,1,,-74.002578,40.728673,CSH,4.1,0.5,0.5,0.0,0.0,5.1
VTS,2011-05-15 21:35:00,2011-05-15 21:42:00,1,1.01,-73.976022,40.744683,1,,-73.990893,40.750455,CRD,5.3,0.5,0.5,2.0,0.0,8.3
